start_ip,end_ip,join_key,size,domain
112.25.225.85,112.25.225.85,112.25.0.0,1,kentec-inc.com.cn
103.54.151.27,103.54.151.27,103.54.0.0,1,27-megaspeednet.com
111.188.150.10,111.188.150.18,111.188.0.0,9,bbtec.net
107.132.98.239,107.132.98.254,107.132.0.0,16,sbcglobal.net
110.232.112.16,110.232.112.16,110.232.0.0,1,bosun.nz
110.142.155.38,110.142.155.42,110.142.0.0,5,telstra.net
108.167.154.12,108.167.154.12,108.167.0.0,1,businessinyourcity.com
102.68.14.92,102.68.14.92,102.68.0.0,1,rightnowmatch.com
108.179.204.56,108.179.204.58,108.179.0.0,3,unifiedlayer.com
107.175.87.237,107.175.87.237,107.175.0.0,1,colocrossing.com
108.62.178.1,108.62.178.1,108.62.0.0,1,leaseweb.net
104.181.59.1,104.181.59.1,104.181.0.0,1,whitmantitle.com
104.145.233.190,104.145.233.191,104.145.0.0,2,networkcore.net
111.118.174.69,111.118.174.72,111.118.0.0,4,crucialx.net
106.163.103.1,106.163.103.255,106.163.0.0,255,dion.ne.jp
109.144.69.111,109.144.69.111,109.144.0.0,1,bt.net
